Precinct	total_votes	votes|Michael G. Grace	votes|Mike Cashman	votes|Frank Avila	votes|Heather Boyle	votes|M Cameron ''Cam'' Davis	votes|Kimberly Neely Dubuclet	votes|Eira L. Corral Sepúlveda	votes|Patricia Theresa Flynn	votes|Shundar Lin	votes|Deyon Dean
02014	688	30	24	55	66	132	151	120	68	31	11
02015	596	30	25	61	59	117	134	91	40	28	11
02016	618	33	27	48	64	109	132	108	53	37	7
02017	768	21	33	58	68	155	189	138	61	28	17
02018	591	33	24	38	76	93	136	87	63	33	8
02019	297	15	15	23	23	59	65	50	30	11	6
02020	543	38	33	54	73	94	94	78	42	27	10
02021	690	34	24	63	74	129	156	110	62	29	9
02022	622	24	27	34	91	115	148	90	67	23	3
02023	403	16	24	29	47	77	86	65	44	10	5
02024	440	20	25	24	53	82	106	74	40	11	5
02025	650	28	39	61	81	102	135	100	67	22	15
02026	394	33	25	40	48	58	74	46	42	19	9
02027	393	40	17	29	46	67	80	47	40	17	10
02028	571	31	30	42	62	103	128	86	52	28	9
02029	563	34	29	46	69	84	110	86	66	24	15
02030	472	15	15	31	62	85	120	80	47	12	5
02031	764	43	42	57	85	142	168	119	76	23	9
02032	370	23	17	32	36	63	86	52	33	20	8
02033	920	50	49	63	113	155	198	134	106	37	15
02034	550	32	26	35	57	116	116	85	55	20	8
02035	571	36	25	42	73	98	124	87	57	23	6
02036	481	20	19	46	63	79	101	64	58	26	5
02037	644	43	38	47	88	99	127	90	81	19	12
02038	451	17	19	26	59	84	111	75	43	13	4
02039	338	24	14	47	36	55	62	41	33	21	5
02040	462	32	23	39	63	68	104	63	45	13	12
02041	466	29	18	37	64	68	106	71	48	13	12
02042	499	26	21	33	69	79	113	74	50	25	9
02043	580	34	28	37	70	102	132	103	50	15	9
02044	351	17	22	28	45	61	70	58	34	14	2
02045	559	37	22	64	66	89	108	73	62	25	13
02046	347	13	18	16	43	73	82	54	34	8	6
03001	821	71	37	59	62	175	189	85	89	15	39
03002	960	78	43	70	93	190	215	104	90	28	49
03003	408	47	28	44	29	80	76	47	30	17	10
03004	857	57	28	83	54	176	201	107	66	22	63
03005	419	47	20	40	41	81	75	40	43	8	24
03006	850	41	38	66	77	156	192	142	78	36	24
03007	478	55	25	43	45	95	100	39	45	12	19
03008	431	57	21	39	47	74	82	25	53	7	26
03009	808	59	26	61	79	170	177	89	81	23	43
03010	274	33	18	26	23	55	49	27	30	5	8
03011	614	47	21	60	56	134	121	53	67	12	43
03012	744	64	28	60	70	140	152	90	67	25	48
03013	818	42	26	53	77	158	189	141	75	41	16
03014	686	38	27	66	61	119	149	106	62	31	27
03015	534	60	20	47	50	108	96	47	56	13	37
03016	512	56	24	49	53	93	91	39	65	12	30
03017	896	56	37	78	104	150	183	125	86	39	38
03018	867	68	42	78	81	148	180	99	85	38	48
03019	730	43	34	56	69	136	168	117	55	34	18
03020	739	61	43	56	56	157	142	70	82	24	48
03021	742	62	29	58	79	142	158	97	80	21	16
03022	829	37	23	65	80	153	170	136	84	49	32
03023	433	48	21	48	43	73	75	36	58	6	25
03024	504	43	21	40	51	101	106	48	56	11	27
03025	1062	41	36	90	81	228	270	195	72	37	12
03026	831	33	42	69	70	171	199	135	62	34	16
03027	788	50	32	73	90	135	175	113	77	31	12
03028	428	51	23	35	39	80	77	40	55	9	19
03029	618	50	32	57	73	114	119	48	84	14	27
03030	601	60	23	53	34	137	127	66	61	8	32
03031	784	69	32	56	84	142	155	75	93	25	53
03032	814	27	24	63	89	147	198	122	76	37	31
03033	828	33	27	61	87	145	199	131	88	39	18
03034	850	54	34	81	75	162	179	131	69	41	24
03035	320	18	4	29	28	62	74	31	35	12	27
03036	282	32	14	30	19	51	54	25	40	5	12
03037	608	60	25	59	60	111	119	52	72	12	38
03038	571	65	19	45	42	115	123	60	66	11	25
03039	915	43	20	62	80	181	227	163	63	48	28
03040	542	42	27	44	43	110	103	77	50	20	26
03041	550	52	26	46	52	97	118	66	50	21	22
04001	1050	30	24	86	76	237	262	196	69	40	30
04002	882	42	25	58	91	176	210	145	71	39	25
04003	514	36	23	40	47	115	114	68	35	10	26
04004	895	78	36	71	70	197	177	94	98	18	56
04005	825	47	18	82	75	158	193	101	84	19	48
04006	953	90	31	91	72	185	202	116	81	26	59
04007	938	68	29	86	81	196	210	119	79	23	47
04008	846	53	25	63	58	187	197	113	64	26	60
04009	1081	64	28	79	89	221	277	146	101	25	51
04010	979	68	33	70	92	193	226	122	93	21	61
04011	630	60	21	47	40	132	139	81	60	19	31
04012	895	78	35	75	78	185	184	104	74	21	61
04013	732	38	24	53	87	120	149	121	73	46	21
04014	674	50	27	53	56	140	144	81	76	15	32
04015	840	65	25	85	80	150	186	90	92	18	49
04016	1050	33	13	62	113	204	259	197	88	46	35
04017	784	31	16	57	90	136	187	144	69	37	17
04018	749	76	39	87	67	136	148	68	66	15	47
04019	436	49	32	34	34	78	93	39	50	4	23
04020	696	38	27	64	49	135	164	104	62	31	22
04021	808	43	31	57	81	135	185	133	76	47	20
04022	769	43	19	56	57	169	199	120	59	22	25
04023	1060	32	19	73	66	256	281	206	57	35	35
04024	702	37	12	46	46	158	177	119	57	20	30
04025	819	40	39	72	87	138	171	124	73	52	23
04026	695	47	26	54	47	153	165	91	58	19	35
04027	984	36	27	64	71	234	249	172	68	29	34
04028	651	53	26	54	72	131	131	69	68	17	30
04029	628	42	22	64	52	127	146	78	41	14	42
04030	892	69	30	75	93	193	181	97	83	22	49
04031	1002	62	28	69	76	216	250	146	88	16	51
04032	793	52	21	76	58	181	173	110	60	17	45
04033	809	40	31	70	66	168	183	124	66	26	35
04034	622	48	21	57	64	121	136	66	61	14	34
04035	881	49	35	58	61	205	221	115	73	13	51
04036	957	59	27	88	79	191	216	127	92	27	51
04037	1181	48	37	91	101	231	289	216	89	51	28
04038	884	57	19	63	64	189	211	118	75	29	59
05001	518	59	29	33	52	101	103	40	63	10	28
05002	454	49	15	33	42	104	82	34	59	11	25
05003	803	28	14	54	67	171	215	138	58	38	20
05004	884	45	20	64	81	189	201	133	69	38	44
05005	520	50	29	57	49	96	88	48	54	16	33
05006	545	60	35	59	48	107	88	43	56	16	33
05007	699	46	23	57	89	117	157	65	85	29	31
05008	856	23	14	57	60	210	234	174	39	34	11
05009	931	49	29	74	79	195	219	138	76	35	37
05010	504	50	23	48	44	92	101	35	63	13	35
05011	797	44	14	63	79	157	203	119	62	33	23
05012	388	45	22	31	37	76	70	28	49	9	21
05013	535	55	27	45	52	87	99	46	67	15	42
05014	638	42	20	43	55	125	153	69	74	16	41
05015	695	30	23	59	56	142	163	102	53	34	33
05016	570	52	33	50	58	103	105	45	66	19	39
05017	451	51	28	37	45	69	83	31	67	11	29
05018	733	29	20	59	47	166	188	128	52	23	21
05019	778	25	19	57	45	176	205	154	54	19	24
05020	891	37	24	71	80	190	220	135	69	29	36
05021	748	28	14	57	50	172	185	129	57	33	23
05022	980	51	27	74	73	214	244	151	71	39	36
05023	1266	52	27	100	86	287	322	217	83	51	41
05024	858	36	17	67	71	186	225	140	55	38	23
05025	671	44	28	64	46	131	161	91	60	13	33
05026	637	49	26	49	62	129	132	57	79	16	38
05027	757	17	19	64	40	176	208	149	39	34	11
05028	748	64	25	55	78	145	172	83	80	15	31
05029	726	73	41	77	67	131	136	71	69	19	42
05030	427	44	16	34	42	90	76	35	45	6	39
05031	463	50	21	40	41	90	92	54	40	10	25
05032	820	71	29	64	67	178	179	106	58	15	53
05033	673	71	44	62	75	121	118	46	90	18	28
05034	840	23	15	50	59	184	236	175	51	33	14
05035	949	29	23	74	78	217	237	163	66	32	30
05036	242	41	13	22	19	41	48	17	24	4	13
05037	876	44	27	74	57	195	205	139	71	33	31
05038	516	57	28	52	59	91	93	33	62	12	29
05039	620	24	17	51	38	144	163	91	52	26	14
05040	486	51	27	37	55	90	102	40	45	10	29
05041	449	23	15	39	27	108	127	70	25	4	11
06001	676	61	26	67	69	124	153	53	74	12	37
06002	763	63	22	56	72	154	158	80	79	21	58
06003	646	51	22	57	56	127	135	78	86	11	23
06004	367	37	16	32	50	55	74	20	47	7	29
06005	303	36	18	28	34	49	50	22	44	8	14
06006	643	47	29	52	72	128	121	63	83	9	39
06007	483	44	26	37	61	82	93	36	61	6	37
06008	658	52	13	62	54	143	140	84	57	12	41
06009	427	48	25	46	47	75	72	23	53	13	25
06010	301	25	14	23	28	58	63	23	40	7	20
06011	460	52	23	43	61	72	86	33	59	9	22
06012	345	39	11	27	35	47	69	34	44	11	28
06013	431	44	21	48	42	78	84	41	42	10	21
06014	528	49	21	52	57	98	106	38	64	13	30
06015	354	50	20	36	42	63	48	15	51	7	22
06016	698	62	29	72	74	132	140	48	87	9	45
06017	303	45	18	32	27	49	53	23	31	5	20
06018	437	59	30	44	59	59	67	30	54	15	20
06019	397	50	16	45	38	66	71	26	52	3	30
06020	275	32	12	26	34	43	45	13	44	6	20
06021	202	33	17	24	23	25	27	11	24	5	13
06022	334	37	17	32	35	44	63	27	45	16	18
06023	194	25	17	17	23	27	36	11	27	5	6
06024	248	46	16	35	23	33	37	10	28	5	15
06025	236	28	14	14	26	46	45	19	30	2	12
06026	312	37	18	24	25	63	61	24	39	3	18
06027	267	27	17	34	32	37	53	17	33	3	14
06028	227	27	17	16	30	31	47	15	30	5	9
06029	611	33	19	53	44	145	143	77	68	7	22
06030	404	39	19	28	46	70	77	35	45	13	32
06031	665	55	17	61	53	135	151	86	64	9	34
06032	512	55	25	41	51	94	105	49	55	6	31
06033	534	48	17	50	45	96	117	47	72	11	31
06034	593	55	23	49	55	120	131	63	59	11	27
06035	612	58	26	54	60	108	120	58	67	19	42
06036	698	61	33	65	60	134	144	72	73	16	40
06037	723	50	19	52	59	147	162	103	65	22	44
06038	667	54	21	64	59	121	155	70	69	11	43
06039	386	43	14	27	35	73	84	42	45	9	14
06040	454	44	19	42	41	82	99	45	44	11	27
06041	618	55	24	53	64	112	126	57	63	16	48
06042	494	58	22	41	45	84	93	43	70	9	29
06043	481	31	20	48	43	93	99	50	51	4	42
06044	593	68	32	61	58	110	99	45	71	11	38
06045	667	57	26	46	59	130	151	71	73	14	40
06046	408	50	15	36	53	68	72	28	56	9	21
06047	394	50	21	38	54	56	73	25	50	9	18
06048	498	55	20	54	47	90	84	31	65	9	43
07001	468	53	18	40	50	91	72	34	66	13	31
07002	438	53	27	42	60	69	79	31	45	8	24
07003	611	61	31	61	54	114	124	51	66	14	35
07004	545	52	28	56	46	102	114	52	54	12	29
07005	425	40	23	44	45	75	85	38	40	9	26
07006	683	67	39	62	72	117	132	60	69	21	44
07007	442	48	35	49	44	73	74	32	55	9	23
07008	292	31	16	31	27	47	59	19	29	13	20
07009	848	84	44	99	75	142	174	77	81	16	56
07010	594	58	31	57	43	125	111	49	62	20	38
07011	468	71	28	36	53	75	85	26	58	11	25
07012	364	35	18	33	39	59	68	35	50	8	19
07013	298	45	16	33	30	49	49	19	29	5	23
07014	497	55	25	54	51	90	94	30	60	9	29
07015	515	42	22	46	35	101	121	52	61	6	29
07016	354	42	18	36	37	55	66	26	34	11	29
07017	420	45	23	46	48	68	75	35	49	10	21
07018	355	36	24	38	37	54	56	24	54	6	26
07019	467	54	31	46	39	86	90	40	45	8	28
07020	353	46	25	33	45	61	57	21	46	4	15
07021	318	42	19	44	34	58	45	23	32	4	17
07022	397	52	24	43	46	52	66	30	56	9	19
07023	568	61	31	38	56	115	121	61	52	6	27
07024	368	44	25	26	46	71	61	32	31	12	20
07025	378	52	27	62	40	46	49	38	44	7	13
07026	440	40	24	48	39	89	91	45	34	3	27
07027	418	46	17	54	34	76	92	36	40	6	17
07028	285	28	18	28	31	55	40	22	36	10	17
07029	407	26	15	29	36	93	90	50	37	7	24
07030	322	41	15	41	35	50	55	31	33	9	12
07031	299	43	25	30	37	41	50	25	30	8	10
07032	830	68	30	76	63	170	186	106	65	12	54
07033	799	79	29	74	77	148	171	77	95	13	36
07034	738	86	45	56	75	149	138	59	78	11	41
07035	569	55	29	56	47	110	106	62	59	12	33
07036	704	67	30	57	68	133	148	74	72	18	37
07037	531	54	22	46	60	82	107	58	57	18	27
07038	455	56	19	48	35	86	94	39	39	12	27
07039	523	57	37	54	58	88	96	46	53	10	24
07040	515	57	27	35	55	100	104	62	36	15	24
07041	513	66	27	44	44	98	103	58	42	5	26
07042	483	57	25	37	48	91	95	50	43	11	26
07043	518	61	27	41	49	89	110	51	52	9	29
07044	451	46	15	51	48	84	93	46	47	8	13
07045	412	46	25	44	40	68	79	49	42	6	13
07046	230	37	20	36	22	31	31	15	21	7	10
08001	364	33	21	38	36	68	72	24	36	12	24
08002	397	46	20	44	33	67	76	40	40	7	24
08003	772	54	29	58	54	152	196	83	86	11	49
08004	708	74	21	60	59	120	168	62	99	15	30
08005	697	57	21	56	55	136	185	64	79	12	32
08006	591	46	26	44	43	101	140	48	100	14	29
08007	725	67	24	73	72	127	153	68	83	18	40
08008	650	43	29	47	49	121	167	70	83	9	32
08009	387	36	15	42	31	73	80	25	57	7	21
08010	839	56	28	74	60	177	188	103	80	18	55
08011	384	40	15	28	35	79	76	33	43	9	26
08012	533	47	25	54	58	97	105	54	51	14	28
08013	535	57	19	35	56	94	118	46	77	7	26
08014	377	38	20	26	45	64	67	24	57	15	21
08015	479	53	27	38	55	88	90	42	49	9	28
08016	159	14	7	15	11	28	34	5	29	7	9
08017	533	68	20	52	45	100	105	46	65	5	27
08018	362	51	23	28	41	70	63	28	36	8	14
08019	727	67	28	73	55	144	164	65	83	9	39
08020	638	47	24	49	45	113	155	55	97	16	37
08021	651	38	23	53	65	119	153	63	91	15	31
08022	536	48	17	42	45	104	116	48	75	15	26
08023	415	41	22	29	40	59	93	24	70	10	27
08024	364	34	16	35	44	67	66	34	36	12	20
08025	491	46	22	48	51	97	96	35	56	13	27
08026	366	26	13	32	39	60	89	25	50	12	20
08027	669	67	14	49	55	133	158	65	75	12	41
08028	582	54	26	47	56	107	123	52	61	15	41
08029	600	50	20	52	55	105	139	46	83	11	39
08030	608	65	23	54	55	112	128	57	61	10	43
08031	415	38	16	33	42	79	93	34	46	8	26
08032	476	51	23	44	37	71	112	30	74	4	30
08033	388	36	17	38	40	59	77	32	61	7	21
08034	565	41	23	56	45	115	122	57	64	15	27
08035	666	57	27	59	56	132	146	57	78	19	35
08036	547	58	21	54	58	101	107	41	61	8	38
08037	516	45	21	36	42	101	126	61	47	7	30
08038	378	33	17	27	43	58	87	33	58	8	14
08039	572	52	25	58	58	94	128	40	77	7	33
08040	474	40	22	48	46	96	96	43	45	8	30
08041	556	62	30	54	47	94	116	49	59	8	37
08042	686	64	17	71	63	135	136	59	85	15	41
08043	273	25	15	21	36	47	53	16	45	3	12
08044	355	45	14	33	37	55	62	21	52	7	29
08045	365	45	15	26	33	54	72	26	59	10	25
08046	402	37	19	32	35	77	86	41	37	9	29
08047	446	42	19	37	38	89	96	51	50	4	20
08048	471	45	21	33	44	83	106	50	54	7	28
08049	576	43	22	36	50	87	155	46	87	13	37
08050	578	50	19	44	45	107	146	64	62	11	30
08051	654	60	28	37	41	124	159	58	108	13	26
08052	843	71	38	79	80	168	173	83	89	15	47
08053	261	32	12	23	27	48	51	22	25	5	16
08054	380	46	18	31	40	68	71	34	48	6	18
08055	567	43	25	44	50	86	141	44	92	12	30
08056	656	61	25	65	56	121	137	75	66	12	38
09001	485	43	20	35	45	84	107	46	58	8	39
09002	469	71	24	55	58	69	79	28	50	10	25
09003	264	33	19	30	41	26	47	17	30	4	17
09004	449	50	29	52	51	75	75	37	44	8	28
09005	491	54	27	57	46	92	91	46	38	4	36
09006	475	60	18	62	38	88	85	41	41	10	32
09007	332	40	24	35	39	60	49	27	29	8	21
09008	410	45	15	39	41	74	82	39	46	4	25
09009	593	61	21	45	56	104	122	65	58	10	51
09010	442	51	27	54	43	71	80	33	43	4	36
09011	361	53	22	41	35	51	66	32	33	4	24
09012	570	45	21	45	57	122	130	58	57	8	27
09013	710	89	40	82	59	122	132	55	69	14	48
09014	687	73	31	74	71	128	133	79	54	8	36
09015	331	42	26	34	30	45	54	22	48	5	25
09016	579	67	28	56	58	104	114	53	54	13	32
09017	314	51	20	34	38	49	51	16	41	1	13
09018	375	50	24	31	36	71	66	28	41	7	21
09019	499	59	29	61	45	85	102	38	33	9	38
09020	421	54	15	45	42	79	81	36	38	9	22
09021	464	51	31	37	53	82	75	39	55	12	29
09022	574	53	24	53	55	121	120	67	39	11	31
09023	577	41	14	39	54	119	138	73	56	12	31
09024	604	57	24	48	51	124	117	69	57	10	47
09025	544	39	23	43	70	88	111	52	63	8	47
09026	365	45	15	28	55	60	54	22	50	9	27
09027	425	49	29	47	42	73	74	36	37	7	31
09028	212	30	13	25	26	28	34	22	24	4	6
09029	296	39	21	30	31	44	54	19	24	6	28
09030	352	37	19	39	31	61	69	31	31	4	30
09031	365	39	17	44	35	57	67	40	40	7	19
09032	527	49	27	60	52	109	96	39	51	2	42
09033	353	50	27	33	33	61	58	30	34	4	23
09034	381	50	23	38	40	58	68	26	48	8	22
09035	543	53	13	39	49	113	112	67	51	8	38
09036	404	40	16	28	48	70	77	37	45	9	34
09037	719	59	32	87	71	117	137	89	73	21	33
09038	485	59	21	42	59	71	95	33	59	8	38
09039	609	71	34	52	69	114	115	53	50	9	42
09040	642	65	30	67	59	124	127	62	58	9	41
09041	451	45	22	50	42	77	88	38	51	7	31
09042	640	54	24	43	56	135	137	74	61	16	40
09043	355	36	25	45	31	60	54	29	37	10	28
09044	505	62	27	48	58	86	76	45	51	10	42
09045	366	43	15	32	33	66	76	33	34	5	29
09046	523	55	31	48	45	95	94	65	44	14	32
09047	656	50	23	52	48	148	145	89	52	14	35
09048	554	42	15	42	51	116	117	54	63	12	42
09049	580	48	18	46	43	118	128	72	58	11	38
09050	866	57	38	68	73	183	199	95	79	13	61
09051	601	51	13	52	61	111	134	57	61	13	48
10001	384	57	23	62	30	48	54	33	55	7	15
10002	389	30	16	104	49	21	32	57	51	18	11
10003	368	32	26	77	36	32	48	47	49	12	9
10004	301	25	19	73	19	31	31	31	52	7	13
10005	303	28	20	74	32	23	28	36	44	12	6
10006	318	25	10	89	30	25	33	61	30	10	5
10007	284	23	12	71	25	28	26	56	27	7	9
10008	174	19	14	25	24	27	26	14	18	1	6
10009	337	34	18	83	36	31	34	38	42	14	7
10010	444	29	17	121	44	29	41	88	42	23	10
10011	567	55	25	149	48	43	47	116	52	18	14
10012	290	28	11	80	24	26	28	50	31	6	6
10013	395	43	25	103	31	36	31	69	38	7	12
10014	535	52	19	162	44	42	40	103	53	10	10
10015	955	136	63	106	112	149	165	58	103	14	49
10016	248	21	13	49	35	18	30	32	33	10	7
10017	607	56	37	125	63	55	66	85	82	26	12
10018	246	32	14	44	22	27	27	29	36	6	9
10019	483	42	22	117	40	37	51	88	56	15	15
10020	510	49	30	133	59	36	32	81	54	20	16
10021	460	49	29	126	42	34	28	73	47	19	13
10022	278	30	6	72	24	27	20	53	27	15	4
10023	406	37	15	113	39	24	40	64	46	17	11
10024	348	30	12	92	33	26	32	59	38	11	15
10025	131	14	13	32	8	12	14	11	16	5	6
10026	320	37	17	80	28	27	26	43	41	13	8
10027	333	43	15	67	28	48	38	33	41	5	15
10028	495	50	28	135	42	37	45	82	48	12	16
10029	476	45	29	118	45	30	45	83	57	11	13
10030	408	36	21	108	27	38	34	72	51	10	11
10031	329	35	16	91	26	30	29	50	37	10	5
10032	441	36	22	104	42	35	47	85	47	19	4
10033	345	38	20	93	28	24	31	52	38	13	8
10034	253	32	16	52	24	22	33	33	25	3	13
10035	496	30	29	123	48	39	48	106	48	12	13
10036	98	15	3	18	10	12	17	10	8	3	2
11001	641	68	50	76	71	78	92	69	73	49	15
11002	37	10	4	3	3	6	4	1	2	1	3
11003	521	22	7	78	41	88	103	101	46	26	9
11004	450	39	28	64	48	50	60	70	54	28	9
11005	862	56	51	114	85	123	152	112	85	53	31
11006	646	47	24	82	57	103	122	96	61	36	18
11007	588	34	31	55	68	91	97	77	77	36	22
11008	517	48	35	90	54	55	69	58	64	33	11
11009	554	51	31	84	68	59	68	70	71	41	11
11010	518	55	42	71	42	60	78	67	49	40	14
11011	545	33	30	63	53	75	92	91	58	38	12
11012	728	119	112	67	107	47	55	38	159	14	10
11013	652	91	95	75	77	56	59	45	120	21	13
11014	261	26	31	33	26	28	36	26	27	26	2
11015	210	17	12	34	32	27	29	22	21	12	4
11016	358	23	41	43	38	33	47	50	47	31	5
11017	852	59	54	125	94	103	141	106	100	49	21
11018	495	59	62	79	51	36	54	54	60	34	6
11019	748	43	39	93	83	109	141	115	73	38	14
11020	433	43	51	69	44	56	57	43	47	19	4
11021	890	109	136	106	87	82	102	114	119	26	9
11022	767	70	53	94	75	88	121	115	85	54	12
11023	439	57	61	71	33	44	55	39	42	31	6
11024	875	109	197	79	96	85	89	87	106	16	11
11025	743	52	61	104	79	89	100	89	105	44	20
11026	755	48	70	77	61	114	128	122	95	29	11
11027	226	21	22	29	21	21	35	33	17	20	7
11028	233	37	20	32	36	18	19	20	41	6	4
11029	685	70	115	77	58	79	83	67	93	31	12
11030	291	32	20	39	26	33	37	33	24	36	11
11031	521	67	75	60	72	41	52	48	73	25	8
11032	256	34	49	39	23	24	26	23	27	7	4
11033	687	37	40	78	73	102	121	104	72	37	23
11034	197	22	20	24	14	30	27	25	24	10	1
11035	84	10	13	11	10	6	11	6	7	8	2
11036	208	9	20	24	19	28	32	26	21	25	4
11037	162	13	7	26	15	26	28	18	12	10	7
11038	272	9	8	38	31	43	56	50	23	10	4
12001	585	45	29	118	54	50	61	108	77	35	8
12002	357	25	20	105	23	33	32	50	40	20	9
12003	832	49	33	158	69	100	118	165	82	44	14
12004	663	48	19	127	59	71	102	129	63	33	12
12005	499	45	30	82	45	45	69	81	63	36	3
12006	588	40	29	135	55	52	70	104	61	35	7
12007	482	34	13	116	33	50	67	98	41	22	8
12008	594	52	23	122	52	40	81	111	63	40	10
12009	489	34	19	110	33	44	61	88	63	29	8
12010	629	34	17	152	46	72	84	122	61	26	15
12011	499	30	26	155	30	40	54	96	36	22	10
12012	506	58	33	128	24	31	48	94	56	21	13
12013	486	48	21	119	33	43	49	75	65	22	11
12014	429	39	17	112	29	38	46	78	44	12	14
12015	376	32	16	100	25	50	33	61	41	10	8
12016	378	35	26	111	22	31	44	54	33	14	8
12017	524	43	18	140	42	50	60	82	54	23	12
12018	373	20	17	84	28	33	54	73	34	14	16
12019	522	27	23	114	38	52	62	100	59	39	8
12020	508	40	23	117	35	64	66	83	51	21	8
12021	522	48	19	104	50	55	57	87	62	25	15
12022	493	37	21	119	33	46	57	102	44	22	12
12023	637	52	28	132	57	53	74	121	82	31	7
13001	421	40	28	78	40	26	37	71	79	16	6
13002	441	41	23	62	44	25	39	93	101	5	8
13003	425	47	25	92	42	32	35	73	53	19	7
13004	481	49	41	82	47	42	42	77	83	14	4
13005	540	69	39	127	45	30	46	88	74	15	7
13006	582	52	45	98	64	40	41	100	119	18	5
13007	370	37	17	72	30	18	22	72	80	16	6
13008	350	37	17	74	43	22	27	55	65	5	5
13009	455	41	22	113	39	31	39	80	63	19	8
13010	437	31	25	62	51	33	46	74	100	9	6
13011	559	55	31	91	65	35	58	93	101	22	8
13012	436	47	22	79	46	38	48	64	72	15	5
13013	494	41	20	106	41	35	43	92	81	21	14
13014	411	43	19	87	38	27	33	77	57	18	12
13015	712	53	33	142	59	58	46	157	128	22	14
13016	322	35	15	73	29	21	26	65	43	8	7
13017	382	40	25	79	34	26	21	67	63	19	8
13018	362	37	19	68	48	19	38	58	63	5	7
13019	632	70	31	139	39	35	52	123	112	18	13
13020	319	36	23	42	44	18	25	51	65	13	2
13021	517	53	29	62	73	28	51	81	120	16	4
13022	440	41	32	65	48	28	45	61	95	13	12
13023	338	32	15	63	24	18	26	85	56	12	7
13024	422	39	20	70	30	41	35	105	64	15	3
13025	493	38	23	114	46	38	47	83	76	19	9
13026	416	45	25	76	38	18	31	74	93	9	7
13027	433	36	22	81	48	28	47	68	80	16	7
13028	412	37	28	89	43	23	27	85	65	8	7
13029	371	38	29	99	31	30	15	61	55	10	3
13030	395	31	9	93	30	22	20	95	77	13	5
13031	486	47	30	75	50	33	42	96	92	17	4
13032	420	47	32	77	47	29	30	63	74	15	6
13033	498	48	24	63	55	27	40	92	119	18	12
13034	620	34	20	96	36	32	39	179	159	17	8
13035	555	55	33	119	34	47	38	123	90	9	7
13036	309	32	15	74	14	21	28	62	49	9	5
13037	520	59	26	98	45	39	51	88	84	14	16
13038	431	39	26	75	43	26	43	74	83	12	10
13039	480	39	28	96	37	39	37	90	93	11	10
