Precinct	total_votes	votes|Andrew Seo	votes|Tom Greenhaw	votes|Martin J. Durkan
07037	332	70	103	159
07038	268	55	81	132
07039	261	41	87	133
07040	254	55	84	115
07041	280	67	74	139
07042	272	55	93	124
07043	247	59	91	97
07044	266	56	90	120
07045	294	76	73	145
07046	136	38	43	55
08001	241	59	72	110
08002	330	73	88	169
08003	350	70	99	181
08004	350	66	107	177
08005	332	84	96	152
08006	339	61	82	196
08007	354	84	98	172
08008	305	65	82	158
08009	221	53	68	100
08010	371	97	108	166
08011	296	58	71	167
08012	284	59	77	148
08013	352	82	124	146
08014	266	56	65	145
08015	304	75	76	153
08016	140	32	44	64
08017	262	45	102	115
08018	295	53	71	171
08019	369	80	117	172
08020	349	89	116	144
08021	401	86	113	202
08022	265	58	77	130
08023	250	52	79	119
08024	189	47	48	94
08025	317	73	87	157
08026	316	63	97	156
08027	340	78	101	161
08028	311	72	90	149
08029	369	99	88	182
08030	340	73	106	161
08031	256	83	71	102
08032	243	51	71	121
08033	310	64	90	156
08034	281	56	78	147
08035	323	79	98	146
08036	335	62	113	160
08037	274	64	74	136
08038	205	39	55	111
08039	304	69	95	140
08040	248	65	68	115
08041	311	66	86	159
08042	385	82	104	199
08043	154	35	49	70
08044	219	34	72	113
08045	314	70	81	163
08046	235	67	66	102
08047	248	46	68	134
08048	308	58	73	177
08049	298	69	81	148
08050	309	55	91	163
08051	349	65	99	185
08052	385	86	106	193
08053	179	36	59	84
08054	292	71	78	143
08055	249	65	72	112
08056	307	82	91	134
09001	339	95	119	125
09002	290	51	118	121
09003	254	43	98	113
09004	244	51	89	104
09005	267	67	96	104
09006	286	67	105	114
09007	213	41	87	85
09008	301	73	87	141
09009	316	75	117	124
09010	278	58	95	125
09011	229	48	95	86
09012	301	89	93	119
09013	326	84	115	127
09014	387	84	150	153
09015	322	61	106	155
09016	287	47	121	119
09017	254	49	92	113
09018	221	50	68	103
09019	309	68	116	125
09020	334	78	129	127
09021	249	53	104	92
09022	315	77	127	111
09023	317	75	112	130
09024	310	74	95	141
09025	291	80	103	108
09026	300	54	109	137
09027	289	69	110	110
09028	201	50	63	88
09029	248	54	82	112
09030	270	60	104	106
09031	226	61	84	81
09032	259	56	107	96
09033	238	56	84	98
09034	254	50	89	115
09035	298	63	139	96
09036	276	68	94	114
09037	322	89	130	103
09038	292	73	102	117
09039	321	59	140	122
09040	325	76	118	131
09041	254	49	104	101
09042	320	82	107	131
09043	264	62	78	124
09044	281	61	109	111
09045	256	46	104	106
09046	291	78	105	108
09047	313	69	130	114
09048	329	81	96	152
09049	324	67	124	133
09050	369	94	134	141
09051	300	55	107	138
10001	237	55	71	111
10002	193	55	52	86
10003	193	47	55	91
10004	220	59	56	105
10005	169	42	49	78
10006	211	74	54	83
10007	178	65	42	71
10008	212	55	60	97
10009	199	62	52	85
10010	256	79	65	112
10011	298	86	82	130
10012	176	51	43	82
10013	296	93	73	130
10014	310	101	68	141
10015	536	131	167	238
10016	197	71	49	77
10017	274	84	83	107
10018	181	51	45	85
10019	225	64	61	100
10020	245	66	66	113
10021	279	107	64	108
10022	166	56	36	74
10023	249	88	41	120
10024	208	66	47	95
10025	85	27	24	34
10026	215	61	56	98
10027	264	82	71	111
10028	291	98	74	119
10029	245	69	52	124
10030	244	84	60	100
10031	217	72	44	101
10032	245	70	65	110
10033	188	71	43	74
10034	189	43	56	90
10035	250	70	59	121
10036	59	16	15	28
11001	271	98	92	81
11002	43	14	13	16
11003	246	103	72	71
11004	271	90	99	82
11005	371	127	113	131
11006	281	113	89	79
11007	442	178	148	116
11008	289	101	94	94
11009	253	92	86	75
11010	244	74	80	90
11011	260	93	91	76
11012	406	72	147	187
11013	345	52	151	142
11014	122	52	30	40
11015	114	37	40	37
11016	183	54	68	61
11017	346	136	114	96
11018	246	67	102	77
11019	345	122	123	100
11020	202	67	71	64
11021	414	60	195	159
11022	354	122	132	100
11023	175	56	63	56
11024	411	54	229	128
11025	317	95	137	85
11026	342	80	167	95
11027	104	49	28	27
11028	153	20	65	68
11029	316	62	137	117
11030	145	67	40	38
11031	261	47	74	140
11032	135	28	66	41
11033	237	100	81	56
11034	83	20	37	26
11035	63	16	28	19
11036	113	46	37	30
11037	89	51	18	20
11038	143	53	43	47
12001	303	86	77	140
12002	254	75	59	120
12003	338	121	100	117
12004	308	103	89	116
12005	256	93	68	95
12006	267	82	67	118
12007	271	85	81	105
12008	322	102	91	129
12009	245	74	70	101
12010	358	125	89	144
12011	313	95	69	149
12012	293	71	78	144
12013	312	103	74	135
12014	287	80	79	128
12015	239	70	56	113
12016	275	93	73	109
12017	324	106	85	133
12018	241	68	65	108
12019	302	101	70	131
12020	360	102	94	164
12021	288	99	77	112
12022	304	113	72	119
12023	288	86	76	126
13001	229	41	33	155
13002	247	26	36	185
13003	223	66	46	111
13004	264	57	46	161
13005	348	80	59	209
13006	263	46	30	187
13007	254	49	40	165
13008	206	34	33	139
13009	264	71	55	138
13010	203	44	33	126
13011	294	41	43	210
13012	255	53	53	149
13013	319	61	37	221
13014	264	61	45	158
13015	495	124	90	281
13016	230	56	36	138
13017	255	40	53	162
13018	189	33	43	113
13019	397	101	74	222
13020	147	23	26	98
13021	279	44	44	191
13022	279	40	41	198
13023	235	48	47	140
13024	281	49	48	184
13025	298	50	45	203
13026	333	45	38	250
13027	279	51	57	171
13028	250	68	30	152
13029	236	59	48	129
13030	238	48	44	146
13031	268	50	59	159
13032	233	45	45	143
13033	228	41	45	142
13034	409	67	48	294
13035	272	55	19	198
13036	179	45	24	110
13037	317	70	43	204
13038	206	39	31	136
13039	295	58	37	200
13040	243	45	48	150
13041	311	58	37	216
13042	231	47	29	155
13043	307	62	54	191
13044	432	56	32	344
13045	358	53	59	246
13046	365	91	61	213
13047	322	73	55	194
13048	245	42	37	166
14001	270	56	58	156
14002	395	117	82	196
14003	343	75	64	204
14004	211	29	35	147
14005	425	99	67	259
14006	169	43	27	99
14007	313	77	73	163
14008	306	101	61	144
14009	301	77	73	151
14010	216	56	42	118
14011	213	56	25	132
14012	265	64	51	150
14013	241	57	49	135
14014	310	89	56	165
14015	385	90	63	232
14016	226	71	53	102
14017	254	72	55	127
14018	117	31	23	63
14019	339	91	73	175
14020	206	56	43	107
14021	271	72	56	143
14022	316	81	64	171
14023	197	50	43	104
14024	290	39	57	194
14025	188	50	31	107
14026	221	56	44	121
14027	259	62	58	139
14028	200	51	48	101
14029	245	69	34	142
14030	172	50	26	96
14031	189	54	41	94
15001	255	86	59	110
15002	191	33	55	103
15003	190	40	52	98
15004	273	87	68	118
15005	308	105	80	123
15006	273	96	81	96
15007	230	45	82	103
15008	268	72	71	125
15009	353	127	93	133
15010	379	130	112	137
15011	355	115	105	135
15012	346	108	98	140
15013	274	92	82	100
15014	245	69	77	99
15015	260	69	60	131
15016	290	79	67	144
15017	172	37	65	70
15018	222	39	78	105
15019	223	70	68	85
15020	176	34	68	74
15021	221	56	67	98
15022	216	46	66	104
15023	231	41	66	124
15024	205	32	84	89
16001	317	97	72	148
16002	263	65	89	109
16003	220	44	76	100
16004	203	55	50	98
16005	237	52	83	102
16006	241	45	77	119
16007	227	63	65	99
16008	182	33	61	88
16009	284	62	91	131
16010	233	49	74	110
16011	248	64	79	105
16012	231	58	49	124
16013	263	71	66	126
16014	200	55	57	88
16015	273	54	94	125
16016	244	58	78	108
16017	255	61	76	118
16018	247	54	81	112
16019	256	51	87	118
16020	214	51	67	96
16021	200	40	64	96
16022	232	43	66	123
16023	251	84	54	113
16024	156	36	55	65
16025	252	63	80	109
16026	200	51	65	84
16027	200	42	57	101
16028	206	41	73	92
16029	208	44	54	110
16030	213	44	66	103
16031	226	57	69	100
16032	277	81	69	127
16033	220	57	72	91
16034	243	51	62	130
16035	265	72	81	112
16036	178	39	62	77
17001	248	66	64	118
17002	251	43	82	126
17003	281	65	86	130
17004	372	91	118	163
17005	239	53	77	109
17006	267	59	80	128
17007	295	77	74	144
17008	286	59	83	144
17009	272	63	80	129
17010	286	63	99	124
17011	234	53	83	98
17012	381	107	109	165
17013	235	47	82	106
17014	292	83	81	128
17015	294	63	87	144
17016	282	81	72	129
17017	274	63	81	130
17018	306	60	93	153
17019	187	36	64	87
17020	358	69	109	180
17021	349	85	120	144
17022	238	58	72	108
17023	180	36	58	86
17024	285	72	90	123
17025	253	62	76	115
17026	321	62	106	153
17027	284	57	84	143
17028	243	55	72	116
17029	259	52	81	126
17030	239	62	58	119
17031	186	51	48	87
17032	245	57	70	118
17033	184	37	68	79
17034	208	50	62	96
17035	226	55	58	113
17036	324	64	112	148
17037	262	65	88	109
17038	273	66	67	140
17039	274	62	76	136
17040	292	61	108	123
17041	327	67	113	147
18001	281	59	88	134
18002	274	50	46	178
18003	207	50	55	102
18004	322	66	97	159
18005	206	43	60	103
18006	217	49	56	112
18007	290	67	69	154
18008	306	61	94	151
18009	270	68	82	120
18010	403	92	91	220
18011	246	63	56	127
18012	267	77	90	100
18013	296	66	80	150
18014	301	81	86	134
18015	356	98	83	175
18016	276	61	80	135
18017	296	77	76	143
18018	259	55	94	110
18019	267	62	90	115
18020	229	57	76	96
18021	359	88	98	173
18022	346	67	118	161
18023	270	74	64	132
18024	260	72	72	116
18025	258	51	58	149
18026	370	97	112	161
18027	214	52	70	92
18028	247	52	57	138
18029	299	81	83	135
18030	304	74	64	166
18031	328	75	65	188
18032	314	76	100	138
18033	254	42	85	127
18034	352	60	128	164
18035	325	75	100	150
18036	304	69	79	156
18037	330	75	86	169
18038	275	55	88	132
18039	228	53	59	116
18040	335	87	77	171
18041	334	77	96	161
18042	238	52	61	125
18043	233	67	55	111
18044	224	36	48	140
18045	259	64	59	136
18046	311	67	73	171
18047	226	55	65	106
18048	246	63	62	121
18049	203	46	61	96
18050	212	41	66	105
19001	224	25	32	167
19002	396	102	98	196
19003	160	17	18	125
19004	244	25	32	187
19005	314	74	72	168
19006	221	27	28	166
19007	245	32	52	161
19008	232	27	41	164
19009	180	27	35	118
19010	343	86	82	175
19011	209	24	28	157
19012	180	21	33	126
19013	389	117	92	180
19014	300	55	86	159
19015	251	37	38	176
19016	247	25	32	190
19017	220	29	35	156
19018	268	36	74	158
19019	324	70	87	167
19020	277	69	63	145
19021	186	31	28	127
19022	237	59	47	131
19023	256	26	40	190
19024	174	13	39	122
19025	245	48	62	135
19026	215	39	57	119
19027	306	99	78	129
19028	365	89	115	161
19029	201	26	38	137
19030	202	23	40	139
19031	228	43	50	135
19032	220	28	34	158
19033	214	22	24	168
19034	239	30	52	157
19035	242	33	61	148
19036	385	91	102	192
19037	300	75	85	140
19038	283	74	81	128
19039	125	30	30	65
19040	298	69	77	152
19041	188	20	18	150
19042	214	57	55	102
19043	413	102	117	194
19044	263	30	40	193
19045	238	34	27	177
19046	243	27	34	182
19047	460	139	127	194
19048	370	99	117	154
19049	386	92	112	182
19050	213	34	35	144
19051	319	37	60	222
19052	241	28	34	179
19053	226	31	47	148
19054	151	20	22	109
19055	171	19	27	125
19056	293	77	66	150
19057	240	63	52	125
20001	270	67	79	124
20002	132	26	36	70
20003	225	73	56	96
20004	140	27	42	71
20005	281	63	83	135
20006	159	24	57	78
20007	314	82	100	132
20008	280	76	84	120
20009	320	109	92	119
20010	233	58	59	116
20011	372	109	89	174
20012	199	42	55	102
20013	318	57	106	155
20014	165	44	52	69
20015	280	88	75	117
20016	304	99	100	105
20017	164	33	42	89
20018	222	60	72	90
20019	306	69	102	135
20020	245	79	57	109
20021	254	74	63	117
20022	365	109	99	157
20023	302	79	95	128
20024	265	92	77	96
20025	225	49	58	118
20026	298	91	117	90
20027	183	35	56	92
20028	191	51	50	90
20029	332	87	105	140
20030	162	32	64	66
20031	339	93	113	133
20032	302	57	93	152
20033	173	37	56	80
20034	351	118	129	104
20035	271	50	89	132
20036	111	20	23	68
20037	110	30	36	44
20038	122	28	34	60
20039	46	14	12	20
21001	322	86	106	130
21002	224	47	69	108
21003	325	84	112	129
21004	320	72	118	130
21005	324	75	101	148
21006	285	65	91	129
21007	334	77	112	145
21008	322	75	100	147
21009	327	73	116	138
21010	276	64	88	124
21011	285	66	81	138
21012	285	78	86	121
21013	286	63	86	137
21014	371	85	113	173
21015	276	60	92	124
21016	291	76	84	131
21017	286	57	96	133
21018	352	71	112	169
21019	324	54	118	152
21020	259	47	77	135
21021	279	53	99	127
21022	280	59	114	107
21023	267	64	99	104
21024	283	72	90	121
21025	265	69	83	113
21026	295	52	103	140
21027	305	76	107	122
21028	354	81	119	154
21029	318	69	112	137
21030	238	47	91	100
21031	218	48	77	93
21032	272	72	87	113
21033	314	73	100	141
21034	299	70	97	132
21035	317	90	102	125
21036	305	62	106	137
21037	245	69	75	101
21038	313	83	94	136
21039	255	66	71	118
21040	269	58	94	117
21041	291	83	104	104
21042	321	68	107	146
21043	319	65	110	144
21044	280	72	89	119
21045	281	68	90	123
21046	302	72	98	132
21047	278	59	90	129
21048	282	70	91	121
21049	318	78	103	137
21050	268	65	86	117
21051	296	75	104	117
21052	314	69	100	145
21053	225	62	75	88
21054	264	68	75	121
22001	170	28	68	74
22002	291	83	89	119
22003	398	143	84	171
22004	255	81	66	108
22005	269	90	80	99
22006	257	80	67	110
22007	206	66	57	83
22008	308	94	84	130
22009	246	77	84	85
22010	383	116	120	147
22011	219	64	63	92
22012	236	78	68	90
22013	299	87	100	112
22014	223	56	69	98
22015	247	71	57	119
22016	274	89	72	113
22017	289	104	71	114
22018	259	79	61	119
22019	147	33	70	44
22020	284	79	95	110
22021	329	59	148	122
22022	252	81	73	98
22023	326	71	127	128
22024	363	97	111	155
22025	273	77	78	118
23001	246	35	40	171
23002	214	41	48	125
23003	186	41	45	100
23004	274	57	43	174
23005	292	66	66	160
23006	315	89	63	163
23007	267	74	50	143
23008	315	82	64	169
23009	272	82	49	141
23010	348	105	67	176
23011	340	75	72	193
23012	207	45	38	124
23013	240	58	45	137
23014	193	31	24	138
23015	264	66	49	149
23016	225	42	26	157
23017	210	61	48	101
23018	207	51	28	128
23019	252	83	50	119
23020	196	58	42	96
23021	233	44	39	150
23022	244	55	45	144
23023	222	47	46	129
23024	249	80	50	119
23025	244	73	52	119
23026	279	73	64	142
23027	218	34	44	140
23028	255	55	45	155
23029	212	44	31	137
23030	337	105	56	176
23031	174	50	49	75
23032	306	88	60	158
23033	305	68	47	190
23034	273	69	58	146
23035	149	34	26	89
23036	224	27	36	161
23037	188	50	28	110
23038	203	40	35	128
23039	269	57	52	160
24001	255	49	85	121
24002	264	60	80	124
24003	243	55	83	105
24004	263	52	88	123
24005	142	31	45	66
24006	280	61	104	115
24007	148	42	43	63
24008	118	27	38	53
24009	270	62	86	122
24010	147	32	44	71
24011	287	67	78	142
24012	167	34	51	82
24013	140	20	36	84
24014	234	46	81	107
24015	158	22	43	93
24016	291	86	89	116
24017	204	41	64	99
24018	300	61	99	140
24019	301	50	101	150
24020	189	42	60	87
24021	131	24	45	62
24022	347	70	118	159
24023	239	49	75	115
24024	312	68	84	160
24025	228	45	65	118
24026	330	77	101	152
24027	269	49	87	133
24028	201	34	67	100
24029	198	32	76	90
24030	140	37	50	53
24031	294	69	96	129
24032	146	36	47	63
24033	158	33	48	77
24034	226	51	66	109
24035	260	63	73	124
24036	312	74	116	122
24037	148	38	39	71
24038	199	41	55	103
24039	281	55	103	123
24040	236	54	73	109
24041	186	35	54	97
25001	279	96	100	83
25002	307	119	99	89
25003	223	80	86	57
25004	260	85	85	90
25005	307	107	91	109
25006	71	47	11	13
25007	293	109	88	96
25008	356	147	106	103
25009	338	129	83	126
25010	217	81	89	47
25011	343	155	84	104
25012	275	111	77	87
25013	326	126	92	108
25014	172	105	36	31
25015	291	116	82	93
25016	193	71	68	54
25017	287	111	87	89
25018	140	86	24	30
25019	293	102	96	95
25020	216	54	52	110
25021	323	140	115	68
25022	321	131	83	107
25023	377	149	102	126
25024	309	126	87	96
25025	235	85	94	56
25026	343	135	67	141
25027	215	98	77	40
25028	341	126	106	109
25029	209	48	74	87
25030	314	129	81	104
25031	214	85	80	49
25032	270	100	81	89
26001	211	73	89	49
26002	195	68	62	65
26003	214	74	89	51
26004	174	50	58	66
26005	224	69	89	66
26006	228	76	69	83
26007	193	88	65	40
26008	129	53	35	41
26009	217	57	83	77
26010	213	72	71	70
26011	223	83	71	69
26012	230	87	71	72
26013	173	61	45	67
26014	193	73	55	65
26015	139	49	39	51
26016	142	49	48	45
26017	135	56	46	33
26018	212	65	71	76
26019	145	35	54	56
26020	199	68	68	63
26021	288	80	111	97
26022	145	49	50	46
26023	158	59	47	52
26024	191	74	52	65
26025	168	49	65	54
26026	143	60	38	45
26027	226	82	76	68
26028	198	79	68	51
26029	130	50	46	34
26030	181	58	74	49
26031	106	37	27	42
26032	207	60	81	66
26033	216	83	78	55
26034	236	82	75	79
26035	164	59	50	55
26036	207	69	79	59
26037	237	82	63	92
26038	125	39	41	45
26039	202	66	88	48
26040	137	41	42	54
26041	233	82	80	71
26042	166	45	71	50
26043	132	49	38	45
26044	148	55	36	57
26045	109	33	30	46
26046	125	48	52	25
26047	153	53	55	45
26048	204	80	87	37
26049	135	36	39	60
27001	171	63	58	50
27002	230	79	73	78
27003	168	26	44	98
27004	168	39	59	70
27005	201	41	43	117
27006	184	47	57	80
27007	280	104	101	75
27008	245	55	62	128
27009	65	19	22	24
27010	304	78	98	128
27011	151	57	47	47
27012	106	38	48	20
27013	363	99	126	138
27014	152	31	39	82
27015	198	33	57	108
27016	148	57	61	30
27017	268	68	83	117
27018	232	55	73	104
27019	180	46	58	76
27020	260	48	68	144
27021	154	54	53	47
27022	178	39	43	96
27023	231	43	81	107
27024	223	38	55	130
27025	222	62	65	95
27026	236	49	62	125
27027	300	65	95	140
27028	123	46	43	34
27029	228	46	58	124
27030	156	21	47	88
27031	230	48	51	131
27032	211	65	64	82
27033	208	71	68	69
27034	293	57	77	159
27035	166	68	68	30
27036	224	51	69	104
27037	231	59	66	106
27038	319	102	105	112
27039	235	49	66	120
27040	259	63	89	107
27041	237	55	62	120
27042	122	32	42	48
27043	242	72	67	103
27044	242	39	66	137
27045	259	98	115	46
27046	95	36	34	25
27047	177	45	59	73
27048	256	67	83	106
27049	207	34	62	111
27050	256	55	84	117
28001	260	28	108	124
28002	231	46	68	117
28003	212	41	62	109
28004	144	55	52	37
28005	161	30	61	70
28006	110	32	40	38
28007	275	40	66	169
28008	123	48	39	36
28009	243	42	67	134
28010	264	73	87	104
28011	397	138	119	140
28012	274	61	70	143
28013	247	54	57	136
28014	244	39	52	153
28015	85	21	28	36
28016	172	29	57	86
28017	235	50	56	129
28018	192	42	57	93
28019	215	81	70	64
28020	217	43	60	114
28021	205	37	60	108
28022	202	44	68	90
28023	303	53	81	169
28024	231	50	61	120
28025	353	52	84	217
28026	270	44	67	159
28027	213	68	68	77
28028	238	81	83	74
28029	116	14	29	73
28030	37	5	7	25
28031	322	65	91	166
28032	248	55	62	131
28033	298	47	87	164
28034	457	86	107	264
28035	284	53	68	163
28036	154	25	44	85
28037	355	75	83	197
28038	130	30	37	63
28039	209	42	52	115
28040	361	63	99	199
28041	200	31	42	127
28042	280	48	64	168
28043	359	60	97	202
28044	178	32	64	82
28045	151	56	53	42
28046	355	126	111	118
29001	306	74	103	129
29002	450	82	144	224
29003	348	57	101	190
29004	350	64	93	193
29005	281	59	79	143
29006	276	47	80	149
29007	257	62	69	126
29008	283	44	106	133
29009	273	74	96	103
29010	329	106	117	106
29011	187	38	53	96
29012	366	77	124	165
29013	331	58	93	180
29014	297	46	91	160
29015	362	71	112	179
29016	368	53	198	117
29017	339	53	133	153
29018	331	75	88	168
29019	333	59	110	164
29020	355	74	120	161
29021	408	90	127	191
29022	249	52	83	114
29023	272	78	83	111
29024	291	54	85	152
29025	321	53	93	175
29026	295	61	99	135
29027	246	44	67	135
29028	366	70	124	172
29029	206	55	57	94
29030	317	74	113	130
29031	172	47	61	64
29032	198	52	50	96
29033	223	49	57	117
29034	175	48	56	71
29035	245	43	66	136
29036	281	54	91	136
29037	288	49	80	159
29038	223	68	59	96
29039	231	70	63	98
29040	352	76	100	176
29041	259	51	78	130
29042	342	63	94	185
29043	327	94	97	136
29044	405	72	101	232
30001	302	97	86	119
30002	239	80	63	96
30003	204	69	72	63
30004	253	72	80	101
30005	187	50	56	81
30006	242	77	53	112
30007	285	75	98	112
30008	299	81	89	129
30009	214	60	51	103
30010	294	85	80	129
30011	268	89	57	122
30012	218	82	66	70
30013	228	69	61	98
30014	200	72	50	78
30015	226	61	89	76
30016	138	49	24	65
30017	243	78	67	98
30018	286	77	99	110
30019	294	102	57	135
30020	245	83	66	96
30021	164	50	46	68
30022	355	129	108	118
30023	300	106	77	117
30024	268	105	77	86
30025	294	94	89	111
30026	142	54	36	52
30027	156	50	46	60
30028	275	82	95	98
30029	172	60	48	64
30030	119	50	27	42
30031	160	44	47	69
30032	197	68	66	63
31001	165	46	49	70
31002	157	46	50	61
31003	176	56	52	68
31004	259	96	87	76
31005	190	58	57	75
31006	159	50	37	72
31007	287	90	113	84
31008	127	40	29	58
31009	223	74	68	81
31010	160	46	58	56
31011	148	56	34	58
31012	162	57	46	59
31013	189	70	54	65
31014	157	48	37	72
31015	130	49	20	61
31016	225	78	91	56
31017	160	44	52	64
31018	162	60	47	55
